Step   91000 (g22.2+d67.7)s       | [D] min: 0.19       max: 2.25      | [R_te] min: 413.00         max: 1096.99        Avg: 798.39 (55.18)      | ent 0.002 | w_noise: [0.01258 0.01433 0.02157 0.06048 0.12663 0.25560 0.34354 0.45085 0.53859 0.66219]
Step   92000 (g22.2+d67.7)s       | [D] min: 0.15       max: 1.51      | [R_te] min: 330.32         max: 821.82         Avg: 590.46 (67.48)      | ent 0.002 | w_noise: [0.01258 0.01434 0.02161 0.06035 0.12642 0.25682 0.34387 0.45166 0.53995 0.66259]
Step   93000 (g22.1+d67.7)s       | [D] min: 0.16       max: 1.47      | [R_te] min: 321.31         max: 1065.16        Avg: 573.29 (84.13)      | ent 0.002 | w_noise: [0.01256 0.01434 0.02161 0.06042 0.12644 0.25713 0.34367 0.44990 0.53955 0.66135]
Step   94000 (g22.2+d67.7)s       | [D] min: 0.15       max: 2.00      | [R_te] min: 357.33         max: 1430.37        Avg: 788.90 (96.79)      | ent 0.002 | w_noise: [0.01261 0.01437 0.02167 0.06045 0.12705 0.25647 0.34399 0.45107 0.53839 0.66151]
Step   95000 (g22.2+d67.9)s       | [D] min: 0.17       max: 1.66      | [R_te] min: 265.69         max: 1607.86        Avg: 645.34 (136.87)     | ent 0.002 | w_noise: [0.01258 0.01435 0.02160 0.06050 0.12720 0.25587 0.34445 0.44938 0.53831 0.66275]
Step   96000 (g22.1+d67.6)s       | [D] min: 0.17       max: 1.52      | [R_te] min: 333.23         max: 1232.87        Avg: 669.67 (105.45)     | ent 0.002 | w_noise: [0.01270 0.01449 0.02171 0.06110 0.12742 0.25632 0.34499 0.45077 0.53984 0.66332]
Step   97000 (g22.2+d67.8)s       | [D] min: 0.21       max: 1.81      | [R_te] min: 359.81         max: 2027.13        Avg: 950.97 (145.69)     | ent 0.002 | w_noise: [0.01249 0.01426 0.02145 0.06053 0.12684 0.25592 0.34407 0.44983 0.53862 0.66136]
Step   98000 (g22.2+d67.7)s       | [D] min: 0.15       max: 1.37      | [R_te] min: 558.13         max: 1227.52        Avg: 909.03 (68.80)      | ent 0.002 | w_noise: [0.01240 0.01418 0.02145 0.06053 0.12709 0.25582 0.34373 0.45002 0.53851 0.66251]
Step   99000 (g22.2+d67.9)s       | [D] min: 0.19       max: 1.61      | [R_te] min: 357.25         max: 2520.14        Avg: 991.57 (187.41)     | ent 0.002 | w_noise: [0.01237 0.01412 0.02136 0.06044 0.12672 0.25709 0.34371 0.45132 0.53916 0.66268]
Step  100000 (g22.2+d67.9)s       | [D] min: 0.02       max: 2.10      | [R_te] min: 351.79         max: 966.87         Avg: 525.23 (61.73)      | ent 0.002 | w_noise: [0.01228 0.01402 0.02127 0.06027 0.12663 0.25668 0.34337 0.45008 0.53808 0.66227]
